Cultivo,Region,Variedad,Hectareas,Temperatura,costo_jh,rendimiento,Perdida_plaga,mano_de_obra
Arandanos,Ohiggins,V1,1029.9,16.8,13059,6866.5,35.1,3080
Arandanos,Ohiggins,V1,998.9,16.9,13026,7122.1,34.3,2728
Arandanos,Ohiggins,V1,1117.8,15.0,12933,7041.2,31.7,3120
Arandanos,Ohiggins,V1,1007.2,15.7,13027,6891.5,40.5,3135
Arandanos,Ohiggins,V1,1077.6,15.1,13045,6927.7,35.6,3276
Arandanos,Ohiggins,V1,1091.3,15.9,12949,6900.4,33.0,2966
Arandanos,Ohiggins,V1,1188.9,16.1,13002,6943.9,38.1,2725
Arandanos,Ohiggins,V1,1111.6,15.6,12968,6885.7,37.9,2874
Arandanos,Ohiggins,V1,1028.8,17.4,12978,6724.3,34.8,2785
Arandanos,Ohiggins,V1,1124.2,14.7,13056,6920.4,34.4,3193
Arandanos,Ohiggins,V1,1106.5,15.9,13056,7056.9,37.9,2872
Arandanos,Ohiggins,V1,1000.6,15.4,13077,6898.6,30.0,2983
Arandanos,Ohiggins,V1,1101.0,16.5,12993,6797.2,37.3,2932
Arandanos,Ohiggins,V1,1113.9,14.0,12975,6858.2,33.9,2965
Arandanos,Ohiggins,V1,1159.9,14.7,13003,7064.3,31.0,2609
Arandanos,Ohiggins,V2,1110.8,14.3,12970,7028.4,33.0,3104
Arandanos,Ohiggins,V2,1091.4,13.7,13003,7127.7,36.4,2790
Arandanos,Ohiggins,V2,1173.8,15.7,12994,7247.3,33.9,2720
Arandanos,Ohiggins,V2,1034.9,15.1,13033,6896.8,27.2,3099
Arandanos,Ohiggins,V2,1081.7,14.3,13107,6927.3,37.9,2868
Arandanos,Ohiggins,V2,1120.4,14.8,13013,6893.3,41.8,3307
Arandanos,Ohiggins,V2,1054.0,16.9,12998,6929.0,36.9,3155
Arandanos,Ohiggins,V2,1099.7,15.0,12895,7237.8,36.0,3093
Arandanos,Ohiggins,V2,1083.0,15.2,12991,6964.5,34.6,2928
Arandanos,Ohiggins,V2,1063.7,15.3,12969,6776.9,29.5,2996
Arandanos,Ohiggins,V2,1097.1,13.5,13055,7017.3,29.9,3002
Arandanos,Ohiggins,V2,1132.5,14.9,13005,7080.4,34.7,3285
Arandanos,Ohiggins,V2,1086.0,14.4,12988,7171.5,38.2,3068
Arandanos,Ohiggins,V2,1035.5,12.5,12920,7246.0,28.3,3308
Arandanos,Ohiggins,V2,1110.5,16.4,12936,6928.1,32.6,2724
Arandanos,Maule,V1,3750.2,15.6,12968,5931.1,27.5,3446
Arandanos,Maule,V1,3668.7,11.6,13013,6076.3,34.5,3204
Arandanos,Maule,V1,3586.2,15.8,13007,6005.6,38.0,3225
Arandanos,Maule,V1,3678.0,15.0,13033,5964.3,36.9,2979
Arandanos,Maule,V1,3729.1,12.5,13057,6003.4,33.2,3222
Arandanos,Maule,V1,3709.2,15.9,13039,6026.0,36.1,3504
Arandanos,Maule,V1,3636.3,15.6,12961,5973.5,37.7,3349
Arandanos,Maule,V1,3749.6,13.7,13023,6046.6,36.4,3066
Arandanos,Maule,V1,3644.6,12.5,12985,5960.2,34.3,3186
Arandanos,Maule,V1,3634.6,14.5,13041,6011.1,35.6,3205
Arandanos,Maule,V1,3649.5,15.1,12942,6012.2,38.5,3080
Arandanos,Maule,V1,3788.0,13.7,13121,6100.5,29.2,3463
Arandanos,Maule,V1,3699.9,15.9,12945,5932.6,36.9,3410
Arandanos,Maule,V1,3718.2,14.0,12967,5876.5,31.5,2956
Arandanos,Maule,V1,3645.8,13.2,13098,5745.2,38.5,3316
Arandanos,Maule,V2,3699.5,14.0,13065,5890.1,35.5,3027
Arandanos,Maule,V2,3627.4,13.5,13008,6078.3,34.2,2980
Arandanos,Maule,V2,3685.2,16.8,13088,6062.3,38.1,3319
Arandanos,Maule,V2,3770.5,14.5,13034,5852.9,33.5,3640
Arandanos,Maule,V2,3711.1,15.5,13064,6016.7,32.1,2891
Arandanos,Maule,V2,3758.2,13.7,12975,6112.8,37.5,3559
Arandanos,Maule,V2,3685.5,12.7,13087,6032.1,33.5,3278
Arandanos,Maule,V2,3619.6,13.5,12902,6139.0,33.3,3356
Arandanos,Maule,V2,3724.8,14.7,12974,6008.3,37.9,3159
Arandanos,Maule,V2,3735.7,13.5,12976,5936.0,40.2,3363
Arandanos,Maule,V2,3672.5,15.1,12937,5929.8,34.2,3341
Arandanos,Maule,V2,3657.3,15.3,12946,6036.1,33.3,3094
Arandanos,Maule,V2,3657.9,13.4,12963,6084.7,37.8,3480
Arandanos,Maule,V2,3721.7,15.8,12955,5848.1,30.7,3088
Arandanos,Maule,V2,3762.6,16.2,13059,6125.2,30.0,3434
Arandanos,BioBio,V1,1642.1,13.5,12018,4957.5,33.6,3914
Arandanos,BioBio,V1,1823.2,13.6,12051,5025.6,32.8,3901
Arandanos,BioBio,V1,1801.9,12.4,12004,5118.6,27.6,3673
Arandanos,BioBio,V1,1742.7,12.6,12005,4980.2,36.3,3953
Arandanos,BioBio,V1,1731.6,13.8,12069,5024.6,35.7,4171
Arandanos,BioBio,V1,1601.4,11.7,11906,5007.0,32.1,4013
Arandanos,BioBio,V1,1793.8,13.9,11901,4825.8,34.2,3864
Arandanos,BioBio,V1,1766.3,14.1,11962,5164.7,34.2,3947
Arandanos,BioBio,V1,1793.7,14.8,11989,4767.4,34.0,3908
Arandanos,BioBio,V1,1742.0,11.5,11988,5013.5,33.4,3764
Arandanos,BioBio,V1,1656.7,14.0,11976,5013.0,34.6,4029
Arandanos,BioBio,V1,1659.9,14.8,12014,5102.8,29.6,4132
Arandanos,BioBio,V1,1573.9,14.9,12083,4924.8,35.0,4030
Arandanos,BioBio,V1,1781.8,13.4,11997,5061.5,31.4,3882
Arandanos,BioBio,V1,1724.4,12.5,11893,4892.4,41.8,3698
Arandanos,BioBio,V2,1800.3,13.9,11927,5129.7,37.7,3880
Arandanos,BioBio,V2,1683.0,11.9,12046,5115.4,34.6,3785
Arandanos,BioBio,V2,1733.9,13.3,11993,4992.5,35.6,4175
Arandanos,BioBio,V2,1803.5,13.7,11900,4962.0,39.3,3660
Arandanos,BioBio,V2,1679.8,14.8,11987,4905.3,36.7,3832
Arandanos,BioBio,V2,1743.7,15.2,12005,5037.2,34.6,4087
Arandanos,BioBio,V2,1664.5,14.8,11906,5107.2,31.6,4101
Arandanos,BioBio,V2,1715.7,14.5,11962,4914.6,37.1,4205
Arandanos,BioBio,V2,1706.4,12.4,11985,5058.8,41.2,3755
Arandanos,BioBio,V2,1698.5,12.1,11919,4934.8,37.0,3889
Arandanos,BioBio,V2,1734.7,13.8,11997,4965.1,34.6,4036
Arandanos,BioBio,V2,1785.3,14.0,11967,4970.2,37.5,4274
Arandanos,BioBio,V2,1694.2,15.7,11967,5137.6,33.3,4101
Arandanos,BioBio,V2,1680.7,12.1,11938,5140.9,31.7,4250
Arandanos,BioBio,V2,1681.4,12.7,11988,5168.7,33.5,3938
Arandanos,La_Araucania,V1,1907.5,11.3,12005,4166.3,33.2,3198
Arandanos,La_Araucania,V1,1896.7,12.4,12015,4439.0,33.6,3303
Arandanos,La_Araucania,V1,1867.3,11.9,12011,4374.1,37.6,3207
Arandanos,La_Araucania,V1,1922.1,13.0,11995,4506.7,37.8,3484
Arandanos,La_Araucania,V1,1941.5,11.2,12018,4466.9,37.1,3212
Arandanos,La_Araucania,V1,1846.2,12.8,12023,4469.6,33.4,3356
Arandanos,La_Araucania,V1,1854.6,11.9,12084,4517.0,31.8,3408
Arandanos,La_Araucania,V1,1898.1,10.0,12069,4538.1,34.9,3319
Arandanos,La_Araucania,V1,1783.3,11.9,11923,4456.1,42.8,3280
Arandanos,La_Araucania,V1,1833.6,13.1,11970,4444.0,35.4,3105
Arandanos,La_Araucania,V1,1801.7,12.8,12007,4525.9,37.4,3404
Arandanos,La_Araucania,V1,1931.0,11.5,12023,4632.6,32.0,3258
Arandanos,La_Araucania,V1,1865.6,13.3,12022,4327.5,31.4,2927
Arandanos,La_Araucania,V1,1819.9,10.3,12063,4526.0,33.6,3028
Arandanos,La_Araucania,V1,1855.1,11.6,12042,4523.7,31.1,3004
Arandanos,La_Araucania,V2,1910.0,12.6,11924,4447.8,32.8,3403
Arandanos,La_Araucania,V2,1708.3,10.4,11962,4421.7,37.6,3503
Arandanos,La_Araucania,V2,1823.3,13.2,11951,4554.1,35.0,3300
Arandanos,La_Araucania,V2,1780.9,11.6,12050,4344.9,37.3,3325
Arandanos,La_Araucania,V2,1886.3,10.1,12020,4456.3,29.8,3160
Arandanos,La_Araucania,V2,1838.7,13.1,11961,4528.3,34.1,3553
Arandanos,La_Araucania,V2,1858.9,10.1,12038,4651.1,30.4,3614
Arandanos,La_Araucania,V2,1761.6,12.0,12037,4758.3,32.8,3208
Arandanos,La_Araucania,V2,1908.1,10.6,12055,4539.7,34.1,3595
Arandanos,La_Araucania,V2,1857.6,11.1,11974,4591.7,33.2,3439
Arandanos,La_Araucania,V2,1862.7,11.6,11960,4689.4,38.1,3566
Arandanos,La_Araucania,V2,1894.5,10.6,12023,4400.5,24.7,3552
Arandanos,La_Araucania,V2,1873.5,11.1,11971,4380.6,37.6,3449
Arandanos,La_Araucania,V2,1915.4,11.5,12065,4424.1,35.1,3550
Arandanos,La_Araucania,V2,1932.1,13.5,12084,4331.0,38.3,3162
